10 40 20 56 97
5 4 0 19 1 20 2 18 3 13 28 4 30 5 20 6 16 7 23 8 14 9 27 10 24 11 23 12 18 13 10 14 14 15 15 16 13 17 22 18 30 19 24 20 10 21 23 22 11 23 24 28 12 29 28 30 17 31 19 32 20 33 20 34 29 35 30 32 4 19 5 19 6 14 7 12 8 11 9 20 10 29 11 23 12 24 13 25 14 16 15 25 16 21 17 22 18 18 19 19 20 24 21 25 22 26 23 14 24 14 25 10 26 25 27 17 28 23 29 13 30 30 31 24 32 16 33 23 34 30 35 11 24 8 28 9 11 10 10 11 26 16 21 17 11 18 30 19 15 20 29 21 28 22 10 23 30 24 21 25 16 26 11 27 16 28 23 29 28 30 22 31 20 32 15 33 25 34 12 35 29 4 36 18 37 14 38 14 39 16
5 4 0 20 1 22 2 29 3 25 8 4 11 5 22 6 27 7 10 28 13 29 16 30 29 31 12 4 16 20 17 23 18 25 19 19 16 4 20 5 22 6 17 7 16 8 20 9 14 10 12 11 29 16 22 17 13 18 17 19 24 32 18 33 27 34 12 35 11 4 36 18 37 28 38 26 39 25
5 4 0 15 1 17 2 18 3 26 32 4 17 5 30 6 30 7 11 8 13 9 29 10 26 11 11 12 18 13 19 14 15 15 19 16 12 17 19 18 13 19 13 20 19 21 29 22 22 23 25 24 14 25 10 26 14 27 18 28 27 29 25 30 29 31 27 32 20 33 21 34 17 35 22 32 4 23 5 15 6 19 7 18 8 10 9 13 10 13 11 24 12 19 13 27 14 24 15 27 16 24 17 24 18 24 19 21 20 18 21 12 22 10 23 26 24 17 25 12 26 24 27 28 28 29 29 15 30 21 31 16 32 15 33 18 34 23 35 23 32 4 15 5 14 6 14 7 20 8 18 9 10 10 11 11 13 12 18 13 14 14 22 15 25 16 17 17 15 18 11 19 13 20 10 21 27 22 29 23 12 24 17 25 23 26 15 27 10 28 14 29 23 30 27 31 23 32 17 33 26 34 20 35 15 4 36 12 37 29 38 23 39 28
5 4 0 19 1 27 2 12 3 10 28 4 30 5 10 6 26 7 20 8 26 9 24 10 27 11 17 16 15 17 26 18 27 19 25 20 10 21 26 22 19 23 13 24 26 25 20 26 16 27 25 28 17 29 18 30 14 31 26 32 27 33 23 34 17 35 18 8 20 27 21 14 22 28 23 12 32 21 33 21 34 22 35 11 20 4 22 5 12 6 14 7 18 8 21 9 26 10 24 11 22 16 26 17 10 18 23 19 19 20 13 21 23 22 14 23 30 32 28 33 22 34 19 35 14 4 36 30 37 17 38 16 39 28
5 4 0 10 1 12 2 13 3 16 20 4 18 5 18 6 15 7 18 8 30 9 19 10 28 11 13 12 26 13 25 14 16 15 16 24 25 25 12 26 12 27 25 28 13 29 14 30 30 31 29 4 28 23 29 30 30 23 31 23 12 8 30 9 27 10 25 11 19 12 18 13 24 14 14 15 18 24 12 25 11 26 16 27 19 4 36 22 37 10 38 15 39 18
5 4 0 22 1 12 2 29 3 22 20 8 21 9 15 10 26 11 26 16 23 17 30 18 17 19 17 20 13 21 27 22 11 23 13 24 25 25 20 26 28 27 11 32 29 33 11 34 16 35 28 32 4 11 5 24 6 18 7 28 8 17 9 13 10 27 11 28 12 14 13 27 14 28 15 23 16 13 17 29 18 15 19 12 20 13 21 28 22 24 23 12 24 16 25 14 26 14 27 24 28 19 29 19 30 25 31 20 32 20 33 16 34 26 35 10 32 4 22 5 25 6 18 7 20 8 22 9 12 10 23 11 10 12 13 13 16 14 30 15 14 16 17 17 21 18 19 19 23 20 11 21 19 22 15 23 17 24 28 25 30 26 11 27 16 28 12 29 19 30 14 31 11 32 22 33 30 34 15 35 20 4 36 26 37 18 38 17 39 20
5 4 0 10 1 10 2 23 3 18 32 4 13 5 12 6 11 7 11 8 18 9 29 10 30 11 13 12 10 13 29 14 27 15 18 16 28 17 18 18 26 19 29 20 29 21 25 22 29 23 25 24 28 25 19 26 20 27 17 28 29 29 22 30 11 31 16 32 11 33 13 34 30 35 18 32 4 25 5 17 6 17 7 20 8 11 9 19 10 11 11 22 12 12 13 17 14 17 15 11 16 27 17 25 18 11 19 28 20 29 21 19 22 16 23 10 24 30 25 29 26 21 27 30 28 12 29 10 30 17 31 28 32 19 33 26 34 26 35 15 24 4 30 5 23 6 13 7 13 8 22 9 22 10 20 11 13 12 24 13 30 14 17 15 13 16 10 17 15 18 27 19 18 20 27 21 20 22 13 23 15 28 12 29 20 30 30 31 27 4 36 13 37 27 38 10 39 24
5 4 0 17 1 16 2 30 3 25 32 4 27 5 19 6 13 7 27 8 14 9 30 10 18 11 17 12 15 13 14 14 12 15 13 16 12 17 18 18 27 19 26 20 21 21 25 22 17 23 14 24 12 25 23 26 25 27 26 28 10 29 14 30 13 31 27 32 27 33 15 34 12 35 15 24 4 10 5 22 6 17 7 27 8 13 9 15 10 16 11 15 16 15 17 10 18 12 19 28 20 20 21 14 22 15 23 21 24 20 25 21 26 28 27 17 28 20 29 24 30 26 31 20 24 8 29 9 11 10 27 11 15 12 30 13 13 14 26 15 27 20 26 21 24 22 29 23 30 24 22 25 11 26 12 27 26 28 15 29 11 30 23 31 14 32 19 33 20 34 22 35 11 4 36 17 37 20 38 12 39 18
5 4 0 10 1 10 2 12 3 18 28 4 26 5 14 6 22 7 30 12 21 13 30 14 15 15 30 16 15 17 15 18 13 19 30 20 29 21 11 22 10 23 20 24 11 25 11 26 16 27 21 28 16 29 20 30 15 31 15 32 25 33 29 34 17 35 18 20 4 26 5 24 6 16 7 12 8 12 9 21 10 23 11 30 16 10 17 29 18 10 19 12 20 29 21 26 22 12 23 15 32 29 33 18 34 10 35 12 8 12 18 13 18 14 29 15 14 20 24 21 19 22 10 23 25 4 36 15 37 25 38 11 39 18
5 4 0 25 1 17 2 23 3 24 12 12 10 13 27 14 19 15 16 16 18 17 11 18 22 19 14 20 10 21 21 22 19 23 13 16 12 18 13 15 14 25 15 20 20 19 21 25 22 23 23 30 24 13 25 22 26 14 27 28 32 24 33 24 34 19 35 12 32 4 30 5 20 6 30 7 21 8 18 9 11 10 11 11 12 12 27 13 11 14 26 15 20 16 14 17 19 18 10 19 24 20 12 21 23 22 24 23 26 24 17 25 11 26 11 27 23 28 14 29 30 30 22 31 18 32 14 33 27 34 13 35 10 4 36 27 37 20 38 19 39 14
1 0 0
2 2 0
3 4 0
4 6 0
5 8 0
6 10 0
7 12 0
8 14 0
9 0 3
10 2 3
11 4 3
12 6 3
13 8 3
14 10 3
15 12 3
16 14 3
17 0 6
18 2 6
19 4 6
20 6 6
21 8 6
22 10 6
23 12 6
24 14 6
25 0 9
26 2 9
27 4 9
28 6 9
29 8 9
30 10 9
31 12 9
32 14 9
33 0 12
34 2 12
35 4 12
36 6 12
37 8 12
38 10 12
39 12 12
40 14 12
41 0 15
42 2 15
43 4 15
44 6 15
45 8 15
46 10 15
47 12 15
48 14 15
49 0 18
50 2 18
51 4 18
52 6 18
53 8 18
54 10 18
55 12 18
56 14 18
1 1 2 1.0
2 2 3 1.5
3 3 4 2.0
4 4 5 1.0
5 5 6 1.5
6 6 7 2.0
7 7 8 1.0
8 9 10 1.5
9 10 11 2.0
10 11 12 1.0
11 12 13 1.5
12 13 14 2.0
13 14 15 1.0
14 15 16 1.5
15 17 18 2.0
16 18 19 1.0
17 19 20 1.5
18 20 21 2.0
19 21 22 1.0
20 22 23 1.5
21 23 24 2.0
22 25 26 1.0
23 26 27 1.5
24 27 28 2.0
25 28 29 1.0
26 29 30 1.5
27 30 31 2.0
28 31 32 1.0
29 33 34 1.5
30 34 35 2.0
31 35 36 1.0
32 36 37 1.5
33 37 38 2.0
34 38 39 1.0
35 39 40 1.5
36 41 42 2.0
37 42 43 1.0
38 43 44 1.5
39 44 45 2.0
40 45 46 1.0
41 46 47 1.5
42 47 48 2.0
43 49 50 1.0
44 50 51 1.5
45 51 52 2.0
46 52 53 1.0
47 53 54 1.5
48 54 55 2.0
49 55 56 1.0
50 1 9 1.0
51 2 10 1.5
52 3 11 2.0
53 4 12 1.0
54 5 13 1.5
55 6 14 2.0
56 7 15 1.0
57 8 16 1.5
58 9 17 1.5
59 10 18 2.0
60 11 19 1.0
61 12 20 1.5
62 13 21 2.0
63 14 22 1.0
64 15 23 1.5
65 16 24 2.0
66 17 25 2.0
67 18 26 1.0
68 19 27 1.5
69 20 28 2.0
70 21 29 1.0
71 22 30 1.5
72 23 31 2.0
73 24 32 1.0
74 25 33 1.0
75 26 34 1.5
76 27 35 2.0
77 28 36 1.0
78 29 37 1.5
79 30 38 2.0
80 31 39 1.0
81 32 40 1.5
82 33 41 1.5
83 34 42 2.0
84 35 43 1.0
85 36 44 1.5
86 37 45 2.0
87 38 46 1.0
88 39 47 1.5
89 40 48 2.0
90 41 49 2.0
91 42 50 1.0
92 43 51 1.5
93 44 52 2.0
94 45 53 1.0
95 46 54 1.5
96 47 55 2.0
97 48 56 1.0
0 1
1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 24
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
1 1 1.0
2 2 1.0
3 3 1.0
4 4 1.0
5 5 1.0
6 6 1.0
7 7 1.0
8 8 1.0
9 9 1.0
10 10 1.0
11 11 1.0
12 12 1.0
13 13 1.0
14 14 1.0
15 15 1.0
16 16 1.0
17 17 1.0
18 18 1.0
19 19 1.0
20 20 1.0
