10 40 20 56 97
5 4 0 10 1 22 2 21 3 20 4 4 23 5 23 6 20 7 13 28 4 25 5 18 6 19 7 30 12 15 13 15 14 10 15 24 16 29 17 14 18 10 19 22 20 22 21 22 22 24 23 12 24 12 25 22 26 13 27 21 28 30 29 28 30 28 31 22 32 29 33 30 34 10 35 14 16 4 20 5 26 6 27 7 25 16 19 17 27 18 15 19 27 28 19 29 24 30 22 31 24 32 26 33 26 34 27 35 12 4 36 26 37 16 38 23 39 25
5 4 0 20 1 27 2 22 3 19 12 4 14 5 30 6 22 7 22 12 30 13 30 14 27 15 20 24 25 25 20 26 18 27 22 8 8 28 9 25 10 28 11 30 28 14 29 30 30 30 31 24 12 12 11 13 25 14 12 15 24 16 23 17 12 18 14 19 30 20 26 21 19 22 17 23 25 4 36 29 37 26 38 12 39 13
5 4 0 28 1 16 2 11 3 27 20 8 17 9 27 10 25 11 10 20 26 21 28 22 10 23 21 24 25 25 23 26 27 27 23 28 15 29 11 30 30 31 19 32 24 33 28 34 15 35 20 4 4 23 5 17 6 25 7 26 32 4 13 5 30 6 28 7 21 8 21 9 27 10 16 11 13 12 30 13 27 14 24 15 30 16 16 17 16 18 16 19 20 20 10 21 10 22 15 23 30 24 10 25 29 26 13 27 26 28 28 29 22 30 24 31 26 32 28 33 15 34 19 35 16 4 36 10 37 30 38 21 39 26
5 4 0 27 1 18 2 29 3 27 8 8 23 9 22 10 10 11 25 24 25 25 20 26 27 27 13 12 4 15 5 18 6 26 7 10 24 12 25 26 26 25 27 27 28 26 29 27 30 25 31 28 28 4 19 5 28 6 19 7 26 8 22 9 20 10 22 11 22 12 29 13 21 14 13 15 13 20 16 21 11 22 22 23 14 24 23 25 28 26 19 27 15 28 24 29 22 30 26 31 24 32 13 33 23 34 20 35 20 4 36 25 37 18 38 11 39 29
5 4 0 18 1 25 2 10 3 24 16 4 19 5 30 6 24 7 22 12 25 13 21 14 10 15 27 28 30 29 16 30 25 31 15 32 28 33 24 34 10 35 20 28 4 24 5 19 6 22 7 28 8 23 9 16 10 23 11 18 12 16 13 18 14 21 15 26 16 14 17 11 18 24 19 12 20 16 21 26 22 30 23 18 28 15 29 21 30 30 31 26 32 21 33 11 34 21 35 29 8 4 26 5 18 6 20 7 12 16 17 17 23 18 19 19 21 4 36 14 37 16 38 24 39 29
5 4 0 20 1 13 2 27 3 10 12 4 12 5 11 6 27 7 27 12 16 13 23 14 29 15 10 24 14 25 29 26 24 27 20 4 28 26 29 13 30 11 31 25 20 4 15 5 10 6 11 7 28 12 22 13 13 14 11 15 13 16 15 17 12 18 22 19 29 20 22 21 21 22 18 23 15 24 28 25 11 26 30 27 20 4 36 25 37 20 38 15 39 18
5 4 0 25 1 16 2 20 3 12 16 16 23 17 22 18 28 19 25 20 23 21 21 22 18 23 18 24 24 25 21 26 16 27 18 32 17 33 26 34 24 35 27 28 4 17 5 21 6 25 7 13 8 29 9 18 10 26 11 23 12 10 13 18 14 24 15 25 16 11 17 18 18 15 19 16 20 10 21 22 22 15 23 13 24 18 25 25 26 25 27 30 28 20 29 21 30 28 31 29 8 4 14 5 25 6 19 7 22 20 19 21 15 22 29 23 24 4 36 20 37 24 38 18 39 12
5 4 0 24 1 21 2 18 3 16 20 4 20 5 24 6 23 7 30 8 16 9 26 10 23 11 13 20 20 21 15 22 16 23 10 24 22 25 15 26 27 27 16 28 11 29 27 30 11 31 30 16 8 13 9 15 10 10 11 25 16 19 17 24 18 22 19 15 20 12 21 13 22 10 23 24 28 17 29 21 30 22 31 26 16 12 10 13 22 14 25 15 16 16 12 17 17 18 21 19 12 20 20 21 18 22 19 23 29 24 24 25 26 26 22 27 24 4 36 21 37 23 38 22 39 18
5 4 0 21 1 14 2 25 3 18 32 4 12 5 24 6 13 7 23 8 30 9 19 10 30 11 10 12 26 13 12 14 24 15 23 16 20 17 13 18 11 19 13 20 15 21 21 22 20 23 27 24 16 25 16 26 15 27 12 28 14 29 14 30 19 31 12 32 25 33 11 34 29 35 11 8 4 11 5 20 6 26 7 23 20 23 21 18 22 23 23 23 28 4 18 5 18 6 18 7 26 8 11 9 29 10 13 11 14 12 16 13 29 14 21 15 18 16 14 17 12 18 15 19 22 20 10 21 21 22 15 23 21 28 30 29 22 30 29 31 22 32 27 33 11 34 20 35 14 4 36 16 37 16 38 10 39 23
5 4 0 27 1 15 2 23 3 28 12 4 27 5 13 6 25 7 24 20 10 21 24 22 20 23 28 32 14 33 15 34 14 35 13 8 8 21 9 16 10 22 11 25 12 23 13 25 14 10 15 14 20 8 13 9 10 10 11 11 17 12 13 13 20 14 15 15 15 20 20 21 12 22 25 23 27 24 19 25 24 26 26 27 20 32 14 33 14 34 28 35 18 4 36 17 37 14 38 29 39 10
1 0 0
2 2 0
3 4 0
4 6 0
5 8 0
6 10 0
7 12 0
8 14 0
9 0 3
10 2 3
11 4 3
12 6 3
13 8 3
14 10 3
15 12 3
16 14 3
17 0 6
18 2 6
19 4 6
20 6 6
21 8 6
22 10 6
23 12 6
24 14 6
25 0 9
26 2 9
27 4 9
28 6 9
29 8 9
30 10 9
31 12 9
32 14 9
33 0 12
34 2 12
35 4 12
36 6 12
37 8 12
38 10 12
39 12 12
40 14 12
41 0 15
42 2 15
43 4 15
44 6 15
45 8 15
46 10 15
47 12 15
48 14 15
49 0 18
50 2 18
51 4 18
52 6 18
53 8 18
54 10 18
55 12 18
56 14 18
1 1 2 1.0
2 2 3 1.5
3 3 4 2.0
4 4 5 1.0
5 5 6 1.5
6 6 7 2.0
7 7 8 1.0
8 9 10 1.5
9 10 11 2.0
10 11 12 1.0
11 12 13 1.5
12 13 14 2.0
13 14 15 1.0
14 15 16 1.5
15 17 18 2.0
16 18 19 1.0
17 19 20 1.5
18 20 21 2.0
19 21 22 1.0
20 22 23 1.5
21 23 24 2.0
22 25 26 1.0
23 26 27 1.5
24 27 28 2.0
25 28 29 1.0
26 29 30 1.5
27 30 31 2.0
28 31 32 1.0
29 33 34 1.5
30 34 35 2.0
31 35 36 1.0
32 36 37 1.5
33 37 38 2.0
34 38 39 1.0
35 39 40 1.5
36 41 42 2.0
37 42 43 1.0
38 43 44 1.5
39 44 45 2.0
40 45 46 1.0
41 46 47 1.5
42 47 48 2.0
43 49 50 1.0
44 50 51 1.5
45 51 52 2.0
46 52 53 1.0
47 53 54 1.5
48 54 55 2.0
49 55 56 1.0
50 1 9 1.0
51 2 10 1.5
52 3 11 2.0
53 4 12 1.0
54 5 13 1.5
55 6 14 2.0
56 7 15 1.0
57 8 16 1.5
58 9 17 1.5
59 10 18 2.0
60 11 19 1.0
61 12 20 1.5
62 13 21 2.0
63 14 22 1.0
64 15 23 1.5
65 16 24 2.0
66 17 25 2.0
67 18 26 1.0
68 19 27 1.5
69 20 28 2.0
70 21 29 1.0
71 22 30 1.5
72 23 31 2.0
73 24 32 1.0
74 25 33 1.0
75 26 34 1.5
76 27 35 2.0
77 28 36 1.0
78 29 37 1.5
79 30 38 2.0
80 31 39 1.0
81 32 40 1.5
82 33 41 1.5
83 34 42 2.0
84 35 43 1.0
85 36 44 1.5
86 37 45 2.0
87 38 46 1.0
88 39 47 1.5
89 40 48 2.0
90 41 49 2.0
91 42 50 1.0
92 43 51 1.5
93 44 52 2.0
94 45 53 1.0
95 46 54 1.5
96 47 55 2.0
97 48 56 1.0
0 1
1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 18
18 19
19 20
20 21
21 22
22 23
23 24
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
1 1 1.0
2 2 1.0
3 3 1.0
4 4 1.0
5 5 1.0
6 6 1.0
7 7 1.0
8 8 1.0
9 9 1.0
10 10 1.0
11 11 1.0
12 12 1.0
13 13 1.0
14 14 1.0
15 15 1.0
16 16 1.0
17 17 1.0
18 18 1.0
19 19 1.0
20 20 1.0
