10 40 20 56 97
5 4 0 25 1 17 2 17 3 27 20 4 14 5 16 6 30 7 13 16 16 17 19 18 25 19 10 24 29 25 23 26 20 27 27 28 23 29 19 30 16 31 12 32 21 33 14 34 21 35 25 12 20 21 21 30 22 12 23 27 24 20 25 21 26 16 27 20 28 27 29 24 30 20 31 12 20 8 19 9 18 10 25 11 17 12 12 13 10 14 27 15 14 16 25 17 15 18 16 19 26 24 15 25 13 26 29 27 24 32 30 33 29 34 24 35 11 4 36 22 37 19 38 29 39 23
5 4 0 12 1 13 2 16 3 23 32 4 13 5 27 6 13 7 24 8 18 9 25 10 24 11 29 12 18 13 19 14 27 15 10 16 25 17 19 18 21 19 18 20 29 21 21 22 18 23 20 24 30 25 18 26 12 27 17 28 16 29 14 30 27 31 26 32 24 33 30 34 20 35 20 28 4 17 5 19 6 19 7 23 8 14 9 19 10 12 11 29 12 15 13 29 14 10 15 16 16 13 17 30 18 17 19 24 24 13 25 17 26 23 27 14 28 14 29 24 30 11 31 17 32 25 33 12 34 24 35 21 4 20 12 21 14 22 15 23 19 4 36 20 37 18 38 12 39 21
5 4 0 21 1 18 2 12 3 24 12 8 30 9 22 10 13 11 14 16 10 17 22 18 11 19 30 24 19 25 27 26 27 27 20 32 4 20 5 27 6 30 7 19 8 13 9 18 10 27 11 18 12 24 13 14 14 19 15 24 16 29 17 24 18 11 19 30 20 11 21 22 22 29 23 15 24 22 25 19 26 16 27 30 28 23 29 18 30 22 31 22 32 14 33 16 34 13 35 17 32 4 17 5 26 6 14 7 27 8 22 9 13 10 22 11 13 12 20 13 16 14 14 15 20 16 11 17 16 18 11 19 17 20 19 21 19 22 10 23 12 24 28 25 30 26 17 27 19 28 15 29 27 30 19 31 24 32 28 33 30 34 21 35 24 4 36 17 37 10 38 24 39 17
5 4 0 15 1 26 2 15 3 13 8 16 12 17 12 18 16 19 13 20 24 21 12 22 27 23 20 8 16 11 17 29 18 10 19 22 20 17 21 22 22 25 23 21 16 8 18 9 21 10 30 11 29 12 16 13 29 14 24 15 20 20 10 21 11 22 24 23 25 28 11 29 28 30 19 31 25 4 36 20 37 24 38 29 39 16
5 4 0 10 1 17 2 26 3 26 8 20 27 21 23 22 16 23 25 24 14 25 17 26 18 27 18 32 4 23 5 27 6 17 7 27 8 22 9 25 10 22 11 25 12 29 13 30 14 14 15 25 16 13 17 25 18 25 19 12 20 21 21 18 22 21 23 18 24 23 25 22 26 18 27 19 28 23 29 10 30 25 31 15 32 17 33 14 34 25 35 16 32 4 26 5 16 6 26 7 18 8 23 9 13 10 23 11 17 12 13 13 12 14 16 15 25 16 18 17 21 18 17 19 20 20 16 21 12 22 23 23 15 24 21 25 24 26 10 27 27 28 25 29 27 30 14 31 12 32 17 33 12 34 26 35 10 4 36 23 37 15 38 12 39 18
5 4 0 26 1 29 2 19 3 12 12 4 24 5 25 6 18 7 16 12 14 13 27 14 26 15 23 20 25 21 18 22 17 23 11 16 8 28 9 11 10 10 11 15 16 26 17 19 18 11 19 13 20 14 21 24 22 21 23 25 24 18 25 22 26 24 27 10 24 4 26 5 30 6 10 7 27 8 18 9 18 10 24 11 25 20 16 21 19 22 28 23 23 24 20 25 22 26 22 27 18 28 14 29 30 30 25 31 10 32 26 33 16 34 20 35 13 4 36 16 37 13 38 30 39 28
5 4 0 16 1 10 2 30 3 17 8 12 10 13 23 14 30 15 22 20 20 21 16 22 20 23 21 12 12 18 13 29 14 29 15 27 24 12 25 13 26 24 27 18 32 12 33 12 34 25 35 21 8 8 22 9 21 10 20 11 19 28 19 29 24 30 14 31 12 4 36 15 37 10 38 12 39 11
5 4 0 27 1 14 2 13 3 29 20 4 12 5 25 6 26 7 21 8 14 9 25 10 26 11 13 12 21 13 22 14 17 15 22 20 28 21 27 22 29 23 14 24 13 25 23 26 18 27 25 20 8 25 9 13 10 24 11 13 12 17 13 29 14 21 15 16 20 13 21 27 22 22 23 20 28 11 29 20 30 17 31 26 32 27 33 24 34 23 35 29 12 8 17 9 28 10 24 11 20 12 22 13 10 14 13 15 30 32 11 33 19 34 12 35 28 4 36 30 37 25 38 12 39 20
5 4 0 21 1 22 2 27 3 20 4 32 29 33 23 34 21 35 19 4 24 19 25 13 26 29 27 22 12 4 18 5 13 6 28 7 18 12 20 13 10 14 20 15 14 28 14 29 23 30 17 31 23 4 36 23 37 29 38 21 39 18
5 4 0 25 1 11 2 11 3 22 4 32 29 33 13 34 11 35 20 8 12 20 13 18 14 20 15 22 24 11 25 15 26 17 27 20 28 4 24 5 23 6 15 7 24 8 20 9 11 10 19 11 24 12 23 13 18 14 21 15 21 20 12 21 10 22 28 23 12 24 24 25 27 26 18 27 20 28 15 29 29 30 18 31 11 32 30 33 29 34 10 35 24 4 36 15 37 26 38 27 39 23
1 0 0
2 2 0
3 4 0
4 6 0
5 8 0
6 10 0
7 12 0
8 14 0
9 0 3
10 2 3
11 4 3
12 6 3
13 8 3
14 10 3
15 12 3
16 14 3
17 0 6
18 2 6
19 4 6
20 6 6
21 8 6
22 10 6
23 12 6
24 14 6
25 0 9
26 2 9
27 4 9
28 6 9
29 8 9
30 10 9
31 12 9
32 14 9
33 0 12
34 2 12
35 4 12
36 6 12
37 8 12
38 10 12
39 12 12
40 14 12
41 0 15
42 2 15
43 4 15
44 6 15
45 8 15
46 10 15
47 12 15
48 14 15
49 0 18
50 2 18
51 4 18
52 6 18
53 8 18
54 10 18
55 12 18
56 14 18
1 1 2 1.0
2 2 3 1.5
3 3 4 2.0
4 4 5 1.0
5 5 6 1.5
6 6 7 2.0
7 7 8 1.0
8 9 10 1.5
9 10 11 2.0
10 11 12 1.0
11 12 13 1.5
12 13 14 2.0
13 14 15 1.0
14 15 16 1.5
15 17 18 2.0
16 18 19 1.0
17 19 20 1.5
18 20 21 2.0
19 21 22 1.0
20 22 23 1.5
21 23 24 2.0
22 25 26 1.0
23 26 27 1.5
24 27 28 2.0
25 28 29 1.0
26 29 30 1.5
27 30 31 2.0
28 31 32 1.0
29 33 34 1.5
30 34 35 2.0
31 35 36 1.0
32 36 37 1.5
33 37 38 2.0
34 38 39 1.0
35 39 40 1.5
36 41 42 2.0
37 42 43 1.0
38 43 44 1.5
39 44 45 2.0
40 45 46 1.0
41 46 47 1.5
42 47 48 2.0
43 49 50 1.0
44 50 51 1.5
45 51 52 2.0
46 52 53 1.0
47 53 54 1.5
48 54 55 2.0
49 55 56 1.0
50 1 9 1.0
51 2 10 1.5
52 3 11 2.0
53 4 12 1.0
54 5 13 1.5
55 6 14 2.0
56 7 15 1.0
57 8 16 1.5
58 9 17 1.5
59 10 18 2.0
60 11 19 1.0
61 12 20 1.5
62 13 21 2.0
63 14 22 1.0
64 15 23 1.5
65 16 24 2.0
66 17 25 2.0
67 18 26 1.0
68 19 27 1.5
69 20 28 2.0
70 21 29 1.0
71 22 30 1.5
72 23 31 2.0
73 24 32 1.0
74 25 33 1.0
75 26 34 1.5
76 27 35 2.0
77 28 36 1.0
78 29 37 1.5
79 30 38 2.0
80 31 39 1.0
81 32 40 1.5
82 33 41 1.5
83 34 42 2.0
84 35 43 1.0
85 36 44 1.5
86 37 45 2.0
87 38 46 1.0
88 39 47 1.5
89 40 48 2.0
90 41 49 2.0
91 42 50 1.0
92 43 51 1.5
93 44 52 2.0
94 45 53 1.0
95 46 54 1.5
96 47 55 2.0
97 48 56 1.0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
1 1 1.0
2 2 1.0
3 3 1.0
4 4 1.0
5 5 1.0
6 6 1.0
7 7 1.0
8 8 1.0
9 9 1.0
10 10 1.0
11 11 1.0
12 12 1.0
13 13 1.0
14 14 1.0
15 15 1.0
16 16 1.0
17 17 1.0
18 18 1.0
19 19 1.0
20 20 1.0
